Sample.ID,BCL11A,IGF1R,SLC22A5,LFNG,BRCA2,CCND1,MARCH6,SCAMP4,CDK6,PDLIM4,EZH2,PSMD10,TRABD,TEX14,SLC25A1,CDC5L,TSPAN2,RPS6KA5,SNTB1,BRCA1,TMBIM1,MDP-1,ZNF570,FLJ10213,IWS1,ADRA2C,C9orf21,CHCHD1,CEBPE,SFTPD,TTC31,C15orf29,WDR40B,HOXD10,EIF5B,SCMH1,ISLR,FLJ30092,RRM2B,CCDC69,ADCY4,SERPINI2,RAB42,FLJ20489,ADMR,HRH1,MRCL3,ARHGAP29,YTHDC2,CST9L,BRCA_Subtype_PAM50
TCGA-A2-A04R,-2.0545,0.403125,1.89275,3.359125,-1.86275,0.769,0.0964166666666667,0.6945,-3.0828,-1.227,-1.1324,-0.04475,0.4626,-1.34925,-0.7865,-0.31175,0.975666666666667,-0.4851,-2.12025,-0.54125,0.785375,0.764,-0.386,-0.6859999999999999,-0.0958333333333333,-3.3635,-1.3235,0.58275,-0.0695,1.2295,-0.30625,0.90175,0.18966666666666698,0.1865,-0.4096,-0.71925,4.137,0.132833333333333,1.136,-0.863625,3.9328333333333303,-0.2825,-0.8765,0.316,0.2615,-0.762666666666667,1.5043333333333302,-0.129375,1.10225,5.31275,LumB
TCGA-A2-A04T,3.0211428571428596,-2.0000625,-0.10099999999999999,-0.126875,1.37625,-2.54358333333333,0.2755,0.24100000000000002,-1.2679,-2.3465,0.0509333333333334,-0.14375,0.341,-0.71375,-0.774166666666667,0.35,1.12216666666667,0.6187,1.537,-3.2721666666666698,-0.19899999999999998,-0.883,0.3945,-1.262,-0.042,-1.4315,0.341666666666667,0.38425,1.0765,0.503,-0.48275,0.289,0.5101666666666671,1.22316666666667,0.2192,0.3525,3.917,-0.424,-0.0418333333333333,-0.49200000000000005,3.0763333333333303,-0.174,0.65325,-0.470875,0.321,-1.72566666666667,0.910166666666667,0.5885,-0.99525,-1.66975,Basal
TCGA-A2-A04U,3.70378571428571,0.204875,-0.78425,-0.05825,0.5105,-1.10241666666667,-1.08441666666667,-0.160625,1.0418,0.5125,-0.6437333333333329,-0.562,0.5408,2.98275,-0.74,0.45325,1.8871666666666698,-0.6575,-1.432,-0.40716666666666707,-0.379,-1.6385,0.225,-1.90775,-0.0666666666666667,-2.62883333333333,0.5031666666666671,0.6115,1.3755,0.48700000000000004,-0.39799999999999996,-0.465875,0.10099999999999999,-0.116833333333333,0.6972,0.5355,3.7805,0.0361666666666667,-0.208333333333333,-1.00225,3.292,0.06,-0.43825,0.244875,-0.031,1.06033333333333,0.689166666666667,-1.099375,-0.63975,-1.814,Basal
TCGA-A2-A04V,-3.0093571428571404,1.79825,1.7965,2.875,-0.71625,3.11925,0.712416666666667,0.696625,-2.2516,0.17075,-1.48313333333333,-0.814,0.2744,-0.503375,-1.35433333333333,-0.27825,2.40966666666667,0.937,-2.0485,-1.8256666666666699,0.27725,-0.35625,-0.6459999999999999,-0.55125,-0.4825,-2.5698333333333303,-1.0485,0.331625,-0.0215,1.50225,0.233,0.60775,0.473181818181818,-0.4433333333333329,-0.0833,0.24725,3.7680000000000002,0.22416666666666699,0.18683333333333302,-0.11725,3.9330000000000003,-1.661,0.04425,0.26375,0.3385,-0.71,0.8375,0.4235,0.178125,6.9505,LumA
TCGA-A2-A04W,-2.49885714285714,-1.161,0.6615,2.40825,-0.43675,-0.271166666666667,0.5310833333333329,0.722125,-1.6308,-0.52675,-1.9967333333333301,0.20125,-0.1547,-1.471625,0.21616666666666698,-0.86575,1.58183333333333,0.6708,-0.10975,-2.37333333333333,0.887125,-1.482,0.7625,-1.681,0.6225,-2.40316666666667,-0.656166666666667,0.249625,0.867,1.05275,-0.60825,0.426125,0.2345,0.953333333333333,0.5749,1.062,4.25625,0.0835,0.29366666666666696,-0.182875,3.3543333333333303,0.19899999999999998,-0.601,0.04975,0.281,0.112,0.638333333333333,0.861,-0.17025,-0.95875,Her2
TCGA-A2-A04X,-1.32721428571429,-0.2295,2.24675,2.165,-0.049,0.670083333333333,-0.4905,0.74775,-1.9195,-1.8430000000000002,-1.82546666666667,-0.60425,0.84,0.179625,0.03,0.0785,-0.687333333333333,0.2196,-1.47975,-1.26825,0.426625,-1.099,0.3395,-1.35025,-0.19033333333333302,-2.8169999999999997,-0.5226666666666671,0.6975,-0.11199999999999999,1.82375,-0.04275,-0.336375,0.4578333333333329,0.4413333333333329,-0.0368,0.22375,3.69875,0.259166666666667,1.34833333333333,0.41775,3.94416666666667,0.172,-0.08175,0.464625,-0.092,2.402,0.5111666666666671,1.30775,0.889,-1.23575,Her2
TCGA-A2-A04Y,-2.28221428571429,0.3825,1.47275,1.219625,0.1125,1.07408333333333,0.0974166666666667,0.96025,-2.4022,-0.91325,-1.22866666666667,-1.2325,0.6943,0.93325,-0.819833333333333,-0.12875,-0.0805,0.218,-2.188,-1.1105,-0.132875,-0.2725,-0.38,-0.1105,0.0498333333333333,0.4866666666666671,-0.753,0.325625,1.8495,2.2835,-0.22675,0.076125,-0.22108333333333302,1.5228333333333302,0.003,0.013000000000000001,3.61675,0.9138333333333329,3.342,-0.058875,3.705,-0.2915,-1.02,0.164375,0.3575,-1.21283333333333,0.7475,0.942875,0.7979999999999999,-0.89625,LumB
TCGA-A2-A0CM,1.25857142857143,-0.7436875,-0.1165,0.489125,0.42425,-0.332,-0.69,0.0385,-0.3022,-1.5605,-0.4268666666666671,0.20875,0.0929,-0.86925,-0.85,-0.16899999999999998,1.3359999999999999,-0.8921,-1.7605,-1.27916666666667,0.842375,-0.99475,-0.3025,-1.1025,0.2485,-2.7558333333333302,0.137166666666667,0.949875,1.166,0.71025,-0.27125,0.785,0.166083333333333,-0.4373333333333329,0.3996,0.25775,3.71325,0.21016666666666697,-0.40633333333333294,-0.26325,3.4,-0.2455,1.78,-0.697875,0.3435,-0.3685,1.8346666666666698,0.98125,-0.443875,-0.88475,Basal
TCGA-A2-A0CP,-0.8177142857142858,0.8335,1.4375,1.048125,-1.65375,-0.101333333333333,0.0259166666666667,0.433875,-2.2339,0.595,-2.1666666666666696,-0.43875,-0.6554,-0.7979999999999999,-1.4018333333333302,-0.33525,2.524,0.8803,-1.98925,-2.62763636363636,-0.24225,-0.07825,-0.008,-0.39075,-0.3908333333333329,-1.7395,-0.1255,0.165125,0.5685,2.06325,-0.65,0.313625,0.447,1.1705,0.3575,-0.24325,3.94875,-0.165333333333333,1.25116666666667,-0.513125,4.0155,-0.2925,-0.25,0.223625,0.1235,0.3415,0.978,0.7040000000000001,0.8665,1.222,LumA
TCGA-A2-A0CQ,-3.0777857142857097,0.6455,2.217,1.638125,-0.645,0.937,-0.226416666666667,0.96825,-3.5089,-1.341,-1.1905333333333301,-1.406,0.9341,-1.471375,-1.32716666666667,-1.12425,-1.0735,0.2553,-2.31,-1.35975,-0.732875,0.04225,0.0535,-0.53925,-0.4986666666666671,-3.2093333333333303,-0.621666666666667,0.657125,0.3245,1.80675,-0.1585,-0.745875,0.41700000000000004,0.807,-0.2155,0.8425,3.661,-0.239333333333333,0.4316666666666671,-0.9375,4.09466666666667,1.006,-0.35200000000000004,0.458125,0.3055,-1.422,0.40766666666666707,1.55675,1.41475,-0.5043333333333329,LumA
TCGA-A2-A0CS,-3.9065,0.614875,2.495,0.66,-0.5475,0.00416666666666667,-0.23733333333333304,1.086625,-2.8514,-0.027999999999999997,-2.3514,0.036,-1.1771,-0.867875,-0.758166666666667,0.0029999999999999897,-0.6065,1.7223,-2.53,-1.7391666666666699,-0.614625,-0.01925,0.7829999999999999,-2.0155,-0.198,-3.3718333333333304,0.27883333333333304,0.243625,-0.154,2.27375,-0.53075,-0.091,0.22875,1.8488333333333302,0.3541,-1.0175,4.05325,0.26483333333333303,1.05233333333333,-0.146125,3.05833333333333,0.109,-0.627,0.5045,0.4105,-0.247166666666667,1.12233333333333,1.105125,1.086125,0.728,LumA
TCGA-A2-A0CT,-2.75185714285714,-1.0543125,2.1635,0.505625,-0.8075,1.80825,0.337333333333333,0.985875,-1.7534,-0.1095,-2.6136,0.06525,-0.6272,-0.798875,-0.3335,-0.77525,0.315166666666667,1.1981,-1.74075,-0.906916666666667,0.5415,1.149,1.088,-1.9780000000000002,-0.7796666666666671,2.057,-0.851166666666667,0.787875,-0.0675,1.2055,-0.32375,0.25725,0.224416666666667,1.4280000000000002,-0.5025,-1.09825,3.1475,0.2145,1.21033333333333,-0.28675,3.2438333333333302,-0.494,-1.0445,0.229125,0.0045,-0.476166666666667,0.643666666666667,0.609125,1.491375,0.39525,LumA
TCGA-A2-A0CU,-2.6934285714285697,1.7755,2.71375,2.923875,-1.242,2.0465,-0.15791666666666698,1.0715,-2.7596,-0.8245,-1.4140000000000001,0.28075,0.1659,0.691875,-0.766666666666667,-0.8085,1.61366666666667,0.2497,-2.06525,-0.656083333333333,0.7915,-0.8625,-0.9205,-0.8535,-0.29666666666666697,0.763333333333333,-1.34183333333333,-0.247375,0.684,2.87725,-0.57875,0.711875,0.22808333333333303,-0.9625,-0.0644,0.48325,3.4235,0.1385,1.7915,0.64975,4.1728333333333305,-0.565,-1.62175,-0.696625,0.4545,-0.592333333333333,0.4983333333333329,-0.23575,0.98175,0.953,LumA
